#,Referring page title,Referring page URL,Language,Platform,Referring page HTTP code,Domain rating,UR,Domain traffic,Referring domains,Linked domains,External links,Page traffic,Keywords,Target URL,Left context,Anchor,Right context,Redirect Chain URLs,Redirect Chain status codes,Type,Content,Nofollow,UGC,Sponsored,Rendered,Raw,Lost status,Drop reason,Discovered status,First seen,Last seen,Lost,Author,Links in group
1,Blog amateur : créer un espace personnel et authentique,https://www.saucewriting.com/guides/creer-blog-amateur,fr,,200,37,6,3600,2,6,6,887,7,https://www.lamicrobyflo.fr/rubriques/,"comme Impact IM . Sur la microentreprise, vous pouvez lire",La micro by flo,". Bref, vous pouvez créer un blog sur le sujet",,,text,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,pagefound,2023-10-12 21:53:15,2025-12-01 14:36:49,,,1
2,Démissionner de l’Éducation Nationale | Guide Complet - Avant J'étais Prof,https://avantjetaisprof.com/demissionner-education-nationale/,fr,wordpress,200,25,5,844,1,12,22,453,56,https://lamicrobyflo.fr/comment-cumuler-100-du-chomage-avec-ta-micro-entreprise/,vous avez créé votre entreprise AVANT de quitter l’EN ->,https://lamicrobyflo.fr/comment-cumuler-100-du-chomage-avec-ta-micro-entreprise/,). Si vous optez pour la démission et que celle-ci,,,text,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,,linkfound,2025-01-31 01:06:54,2025-11-28 02:50:35,,,2
3,Guichet unique des formalités : comment signer ses démarches sans identité numérique La Poste - francenum.gouv.fr,https://www.francenum.gouv.fr/formations/guichet-unique-des-formalites-comment-signer-ses-demarches-sans-identite-numerique-la,fr,,200,84,5,150959,2,20,24,264,82,https://lamicrobyflo.fr/guichet-unique-des-entreprises-la-plateforme-pour-gerer-toutes-les-formalites/,,Guichet unique des entreprises : la plateforme pour gérer toutes les formalités,,,,text,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,pagefound,2025-10-17 15:09:10,2025-11-30 17:34:13,,,7
4,ARNAQUE : Registre des Sociétés Européennes 🚨 - YouTube,https://www.youtube.com/watch?v=ovt7RVSGdYE,en,,200,99,0,2287431424,1,5,6,245,10,https://lamicrobyflo.fr/avis-de-paiement-du-registre-des-societes-europeennes-arnaque-ou-offre-commerciale/,,https://lamicrobyflo.fr/avis-de-paiement-du-registre-des-societes-europeennes-arnaque-ou-offre-commerciale/,,,,text,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,linkfound,2025-12-01 02:37:34,2025-12-01 02:37:34,,,346
5,Comment créer une micro-entreprise ?,https://qonto.com/fr/blog/creation-entreprise/micro-entrepreneur/creer-micro-entreprise,fr,,200,78,5,888363,8,14,18,148,20,https://lamicrobyflo.fr/,des offres promotionnelles pour certains outils sur le site de,La Micro by Flo,par exemple.,,,text,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,linkfound,2025-10-09 04:56:53,2025-10-12 08:08:07,,Marion Gobourg,5
6,Congé maternité et travail indépendant : comment ça marche ? Fiche pratique de l'Adie,https://www.adie.org/fiches-pratiques/le-conge-maternite-et-le-travail-independant/,fr,,200,76,4.5,80128,0,10,16,87,40,https://lamicrobyflo.fr/tout-savoir-sur-le-conge-maternite-en-micro-entreprise/,La Newsletters sur le congé maternité en micro-entreprise de,La Micro By Flo,,,,text,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,linkfound,2024-09-12 10:19:26,2025-11-28 19:53:23,,,2
7,"🟣 ERREUR 2000 - Le sub Twitch de retour à 4.99€, cotisations à la hausse pour les indés...",https://erreur2000.info/le-sub-twitch-de-retour-a-4-99e-cotisations-a-la-hausse-pour-les-indes/,fr,,200,8,4.5,107,0,15,28,9,6,https://lamicrobyflo.fr/augmentation-des-cotisations-pour-les-activites-liberales-les-explications/,,"Hausse des cotisations sociales URSSAF pour les activités libéralesDès juillet 2024, les activités libérales subiront une augmentation du taux de cotisations sociales. Je t’explique les conséquences de cette augmentation. LA MICRO BY FLOFlorian Charpentier",,,,image,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2024-06-06 14:23:09,2025-11-30 12:05:40,,,1
8,Quelles sont les déclarations à effectuer en tant qu'auto-entrepreneur ? | Centre d'aide Wecasa,https://help.wecasa.fr/fr/articles/3701795-quelles-sont-les-declarations-a-effectuer-en-tant-qu-auto-entrepreneur,fr,,200,64,9,166353,0,7,14,8,14,https://www.lamicrobyflo.fr/remplir-la-declaration-initiale-de-cfe/,🔗Plus d'infos :,Le guide de la déclaration initiale de CFE,*,,,text,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2023-06-27 22:03:39,2025-11-14 04:13:09,,,4
9,The Tough Realities of Being Self-Employed in France - Américaine in France,https://www.americaineinfrance.com/2025/06/17/reality-self-employed-freelance-in-france/,en,wordpress,200,22,5,274,0,13,24,7,2,https://lamicrobyflo.fr/newsletter/,Ladies in Business in France . I also subscribe to,La Micro by Flo’s newsletter,", which is in French. He always knows the latest",,,text,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2025-07-05 01:04:59,2025-11-27 02:34:41,,,1
10,Avantage auto-entrepreneur : ce que vous devez savoir en 2025 !,https://blog.abby.fr/avantages-auto-entrepreneur/,fr,wordpress,200,53,7,15925,1,12,17,6,3,https://lamicrobyflo.fr/,,La Micro by Flo,": un blog personnel ultra-complet, tenu par Florian Chrpentier, un",,,text,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,linkrestored,2025-08-05 22:31:59,2025-12-01 13:58:19,,,4
